"year"|"categ"|"year.1"
"1965 (38th)"|"SOUND EFFECTS"|"The Great Race  -- Tregoweth Brown"
"1965 (38th)"|"SPECIAL VISUAL EFFECTS"|"Thunderball  -- John Stears"
"1965 (38th)"|"WRITING (Screenplay--based on material from another medium)"|"Doctor Zhivago  -- Robert Bolt"
"1965 (38th)"|"WRITING (Story and Screenplay--written directly for the screen)"|"Darling  -- Frederic Raphael"
"1965 (38th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Edmond L. DePatie"
"1965 (38th)"|"HONORARY AWARD"|"To Bob Hope for unique and distinguished service to our industry and the Academy."
"1965 (38th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"William Wyler"
"1965 (38th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To ARTHUR J. HATCH of the Strong Electric Corporation subsidiary of General Precision Equipment Corporation, for the design and development of an Air Blown Carbon Arc Projection Lamp. [Lighting]"
"1965 (38th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To STEFAN KUDELSKI for the design and development of the Nagra portable 1/4 inch tape recording system for motion picture sound recording. [Sound]"
"1966 (39th)"|"ACTOR"|"Paul Scofield -- A Man for All Seasons  {\"Sir Thomas More\"}"
"1966 (39th)"|"ACTOR IN A SUPPORTING ROLE"|"Walter Matthau -- The Fortune Cookie  {\"Willie Gingrich\"}"
"1966 (39th)"|"ACTRESS"|"Elizabeth Taylor -- Who's Afraid of Virginia Woolf?  {\"Martha\"}"
"1966 (39th)"|"ACTRESS IN A SUPPORTING ROLE"|"Sandy Dennis -- Who's Afraid of Virginia Woolf?  {\"Honey\"}"
"1966 (39th)"|"ART DIRECTION (Black-and-White)"|"Who's Afraid of Virginia Woolf?  -- Art Direction: Richard Sylbert; Set Decoration: George James Hopkins"
"1966 (39th)"|"ART DIRECTION (Color)"|"Fantastic Voyage  -- Art Direction: Jack Martin Smith, Dale Hennesy; Set Decoration: Walter M. Scott, Stuart A. Reiss"
"1966 (39th)"|"CINEMATOGRAPHY (Black-and-White)"|"Who's Afraid of Virginia Woolf?  -- Haskell Wexler"
"1966 (39th)"|"COSTUME DESIGN (Black-and-White)"|"Who's Afraid of Virginia Woolf?  -- Irene Sharaff"
"1966 (39th)"|"DOCUMENTARY (Feature)"|"The War Game  -- Peter Watkins, Producer"
"1966 (39th)"|"FILM EDITING"|"Grand Prix  -- Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo"
"1966 (39th)"|"MUSIC (Original Music Score)"|"Born Free --  John Barry"
"1966 (39th)"|"MUSIC (Song)"|"\"Born Free\" from Born Free  -- Music by John Barry; Lyrics by Don Black"
"1966 (39th)"|"SHORT SUBJECT (Cartoon)"|"Herb Alpert and the Tijuana Brass Double Feature --  John Hubley and Faith Hubley, Producers"
"1966 (39th)"|"SHORT SUBJECT (Live Action)"|"Wild Wings --  Edgar Anstey, Producer"
"1966 (39th)"|"SOUND"|"Grand Prix --  Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
"1966 (39th)"|"SOUND EFFECTS"|"Grand Prix  -- Gordon Daniel"
"1966 (39th)"|"SPECIAL VISUAL EFFECTS"|"Fantastic Voyage  -- Art Cruickshank"
"1966 (39th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"George Bagnall"
"1966 (39th)"|"HONORARY AWARD"|"To Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood."
"1966 (39th)"|"HONORARY AWARD"|"To Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere."
"1966 (39th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Robert Wise"
"1966 (39th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To MITCHELL CAMERA CORPORATION for the design and development of the Mitchell Mark II 35mm Portable Motion Picture Reflex Camera. [Camera]"
"1966 (39th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To ARNOLD & RICHTER KG for the design and development of the Arriflex 35mm Portable Motion Picture Reflex Camera. [Camera]"
"1966 (39th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PANAVISION, INCORPORATED, for the design of the Panatron Power Inverter and its application to motion picture camera operation. [Stage Operations]"
"1966 (39th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CARROLL KNUDSON for the production of a Composer's Manual for Motion Picture Music Synchronization. [Editorial]"
"1966 (39th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RUBY RAKSIN for the production of a Composer's Manual for Motion Picture Music Synchronization. [Editorial]"
"1967 (40th)"|"ACTOR"|"Rod Steiger -- In the Heat of the Night  {\"Police Chief Bill Gillespie\"}"
"1967 (40th)"|"ACTOR IN A SUPPORTING ROLE"|"George Kennedy -- Cool Hand Luke  {\"Dragline\"}"
"1967 (40th)"|"ACTRESS"|"Katharine Hepburn -- Guess Who's Coming to Dinner  {\"Christina Drayton\"}"
"1967 (40th)"|"ACTRESS IN A SUPPORTING ROLE"|"Estelle Parsons -- Bonnie and Clyde  {\"Blanche Barrow\"}"
"1967 (40th)"|"ART DIRECTION"|"Camelot  -- Art Direction: John Truscott, Edward Carrere; Set Decoration: John W. Brown"
"1967 (40th)"|"CINEMATOGRAPHY"|"Bonnie and Clyde  -- Burnett Guffey"
"1967 (40th)"|"COSTUME DESIGN"|"Camelot  -- John Truscott"
"1967 (40th)"|"DIRECTING"|"The Graduate  -- Mike Nichols"
"1967 (40th)"|"DOCUMENTARY (Feature)"|"The Anderson Platoon  -- Pierre Schoendoerffer, Producer"
"1967 (40th)"|"DOCUMENTARY (Short Subject)"|"The Redwoods  -- Mark Harris and Trevor Greenwood, Producers"
"1967 (40th)"|"FILM EDITING"|"In the Heat of the Night  -- Hal Ashby"
"1967 (40th)"|"FOREIGN LANGUAGE FILM"|"Closely Watched Trains  -- Czechoslovakia"
"1967 (40th)"|"MUSIC (Original Music Score)"|"Thoroughly Modern Millie --  Elmer Bernstein"
"1967 (40th)"|"MUSIC (Scoring of Music--adaptation or treatment)"|"Camelot --  Alfred Newman, Ken Darby"
"1967 (40th)"|"MUSIC (Song)"|"\"Talk To The Animals\" from Doctor Dolittle  -- Music and Lyrics by Leslie Bricusse"
"1967 (40th)"|"BEST PICTURE"|"In the Heat of the Night  -- Walter Mirisch, Producer"
"1967 (40th)"|"SHORT SUBJECT (Cartoon)"|"The Box --  Fred Wolf, Producer"
"1967 (40th)"|"SOUND"|"In the Heat of the Night --  Samuel Goldwyn Studio Sound Department"
"1967 (40th)"|"SOUND EFFECTS"|"The Dirty Dozen  -- John Poyner"
"1967 (40th)"|"SPECIAL VISUAL EFFECTS"|"Doctor Dolittle  -- L. B. Abbott"
"1967 (40th)"|"WRITING (Screenplay--based on material from another medium)"|"In the Heat of the Night  -- Stirling Silliphant"
"1967 (40th)"|"WRITING (Story and Screenplay--written directly for the screen)"|"Guess Who's Coming to Dinner  -- William Rose"
"1967 (40th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Gregory Peck"
"1967 (40th)"|"HONORARY AWARD"|"To Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts."
"1967 (40th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Alfred Hitchcock"
"1967 (40th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To the ELECTRO-OPTICAL DIVISION OF THE KOLLMORGEN CORPORATION for the design and development of a series of Motion Picture Projection Lenses. [Lenses and Filters]"
"1967 (40th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PANAVISION, INCORPORATED, for a Variable Speed Motor for Motion Picture Cameras. [Camera]"
"1967 (40th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FRED R. WILSON of the Samuel Goldwyn Studio Sound Department for an Audio Level Clamper. [Sound]"
"1967 (40th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To WALDON O. WATSON and the UNIVERSAL CITY STUDIO SOUND DEPARTMENT for new concepts in the design of a Music Scoring Stage. [Sound]"
"1968 (41st)"|"ACTOR"|"Cliff Robertson -- Charly  {\"Charly Gordon\"}"
"1968 (41st)"|"ACTOR IN A SUPPORTING ROLE"|"Jack Albertson -- The Subject Was Roses  {\"John Cleary\"}"
"1968 (41st)"|"ACTRESS"|"Katharine Hepburn -- The Lion in Winter  {\"Queen Eleanor of Aquitaine\"}"
"1968 (41st)"|"ACTRESS"|"Barbra Streisand -- Funny Girl  {\"Fanny Brice\"}"
"1968 (41st)"|"ACTRESS IN A SUPPORTING ROLE"|"Ruth Gordon -- Rosemary's Baby  {\"Minnie Castevet\"}"
"1968 (41st)"|"ART DIRECTION"|"Oliver!  -- Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston"
"1968 (41st)"|"CINEMATOGRAPHY"|"Romeo and Juliet  -- Pasqualino De Santis"
"1968 (41st)"|"COSTUME DESIGN"|"Romeo and Juliet  -- Danilo Donati"
"1968 (41st)"|"DIRECTING"|"Oliver!  -- Carol Reed"
"1968 (41st)"|"DOCUMENTARY (Feature)"|"Journey into Self  -- Bill McGaw, Producer"
"1968 (41st)"|"DOCUMENTARY (Short Subject)"|"Why Man Creates  -- Saul Bass, Producer"
"1968 (41st)"|"FILM EDITING"|"Bullitt  -- Frank P. Keller"
"1968 (41st)"|"FOREIGN LANGUAGE FILM"|"War and Peace  -- Union of Soviet Socialist Republics"
"1968 (41st)"|"MUSIC (Original Score--for a motion picture [not a musical])"|"The Lion in Winter --  John Barry"
"1968 (41st)"|"MUSIC (Score of a Musical Picture--original or adaptation)"|"Oliver! --  Adaptation score by John Green"
"1968 (41st)"|"MUSIC (Song--Original for the Picture)"|"\"The Windmills Of Your Mind\" from The Thomas Crown Affair  -- Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman"
"1968 (41st)"|"BEST PICTURE"|"Oliver!  -- John Woolf, Producer"
"1968 (41st)"|"SHORT SUBJECT (Cartoon)"|"Winnie the Pooh and the Blustery Day --  Walt Disney, Producer"
"1968 (41st)"|"SHORT SUBJECT (Live Action)"|"Robert Kennedy Remembered --  Charles Guggenheim, Producer"
"1968 (41st)"|"SOUND"|"Oliver! --  Shepperton Studio Sound Department"
"1968 (41st)"|"SPECIAL VISUAL EFFECTS"|"2001: A Space Odyssey  -- Stanley Kubrick"
"1968 (41st)"|"WRITING (Screenplay--based on material from another medium)"|"The Lion in Winter  -- James Goldman"
"1968 (41st)"|"WRITING (Story and Screenplay--written directly for the screen)"|"The Producers  -- Mel Brooks"
"1968 (41st)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Martha Raye"
"1968 (41st)"|"HONORARY AWARD"|"To John Chambers for his outstanding makeup achievement for Planet of the Apes."
"1968 (41st)"|"HONORARY AWARD"|"To Onna White for her outstanding choreography achievement for Oliver!"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To PHILIP V. PALMQUIST of Minnesota Mining and Manufacturing Co., to DR. HERBERT MEYER of the Motion Picture and Television Research Center, and to CHARLES D. STAFFELL of the Rank Organization for the development of a successful embodiment of the reflex background projection system for composite cinematography. [Special Photographic]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To EASTMAN KODAK COMPANY for the development and introduction of a color reversal intermediate film for motion pictures. [Film]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To DONALD W. NORWOOD for the design and development of the Norwood Photographic Exposure Meters. [Photography]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EASTMAN KODAK COMPANY and PRODUCERS SERVICE COMPANY for the development of a new high-speed step-optical reduction printer. [Laboratory]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EDMUND M. DI GIULIO, NIELS G. PETERSEN and NORMAN S. HUGHES of the Cinema Product Development Company for the design and application of a conversion which makes available the reflex viewing system for motion picture cameras. [Camera]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To OPTICAL COATING LABORATORIES, INC. for the development of an improved anti-reflection coating for photographic and projection lens systems. [Lenses and Filters]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EASTMAN KODAK COMPANY for the introduction of a new high speed motion picture color negative film. [Film]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To PANAVISION, INCORPORATED, for the conception, design and introduction of a 65mm hand-held motion picture camera. [Camera]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To TODD-AO and MITCHELL CAMERA COMPANY for the design and engineering of the Todd-AO hand-held motion picture camera. [Camera]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CARL W. HAUGE and EDWARD H. REICHARD of Consolidated Film Industries and E. MICHAEL MEAHL and ROY J. RIDENOUR of Ramtronics for engineering an automatic exposure control for printing-machine lamps. [Laboratory]"
"1968 (41st)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To EASTMAN KODAK COMPANY for a new direct positive film and to CONSOLIDATED FILM INDUSTRIES for the application of this film to the making of post-production work prints. [Film]"
"1969 (42nd)"|"ACTOR"|"John Wayne -- True Grit  {\"Rooster Cogburn\"}"
"1969 (42nd)"|"ACTOR IN A SUPPORTING ROLE"|"Gig Young -- They Shoot Horses, Don't They?  {\"Rocky\"}"
"1969 (42nd)"|"ACTRESS"|"Maggie Smith -- The Prime of Miss Jean Brodie  {\"Miss Jean Brodie\"}"
"1969 (42nd)"|"ACTRESS IN A SUPPORTING ROLE"|"Goldie Hawn -- Cactus Flower  {\"Toni Simmons\"}"
"1969 (42nd)"|"ART DIRECTION"|"Hello, Dolly!  -- Art Direction: John DeCuir, Jack Martin Smith, Herman Blumenthal; Set Decoration: Walter M. Scott, George Hopkins, Raphael Bretton"
"1969 (42nd)"|"CINEMATOGRAPHY"|"Butch Cassidy and the Sundance Kid  -- Conrad Hall"
"1969 (42nd)"|"COSTUME DESIGN"|"Anne of the Thousand Days  -- Margaret Furse"
"1969 (42nd)"|"DIRECTING"|"Midnight Cowboy  -- John Schlesinger"
"1969 (42nd)"|"DOCUMENTARY (Feature)"|"Arthur Rubinstein - The Love of Life  -- Bernard Chevry, Producer"
"1969 (42nd)"|"DOCUMENTARY (Short Subject)"|"Czechoslovakia 1968  -- Denis Sanders and Robert M. Fresco, Producers"
"1969 (42nd)"|"MUSIC (Original Score--for a motion picture [not a musical])"|"Butch Cassidy and the Sundance Kid --  Burt Bacharach"
"1969 (42nd)"|"MUSIC (Score of a Musical Picture--original or adaptation)"|"Hello, Dolly! --  Adaptation score by Lennie Hayton and Lionel Newman"
"1969 (42nd)"|"MUSIC (Song--Original for the Picture)"|"\"Raindrops Keep Fallin' On My Head\" from Butch Cassidy and the Sundance Kid  -- Music by Burt Bacharach; Lyrics by Hal David"
"1969 (42nd)"|"BEST PICTURE"|"Midnight Cowboy  -- Jerome Hellman, Producer"
"1969 (42nd)"|"SHORT SUBJECT (Cartoon)"|"It's Tough to Be a Bird --  Ward Kimball, Producer"
"1969 (42nd)"|"SHORT SUBJECT (Live Action)"|"The Magic Machines --  Joan Keller Stern, Producer"
"1969 (42nd)"|"SOUND"|"Hello, Dolly! --  Jack Solomon, Murray Spivack"
"1969 (42nd)"|"SPECIAL VISUAL EFFECTS"|"Marooned  -- Robbie Robertson"
"1969 (42nd)"|"WRITING (Screenplay--based on material from another medium)"|"Midnight Cowboy  -- Waldo Salt"
"1969 (42nd)"|"WRITING (Story and Screenplay--based on material not previously published or produced)"|"Butch Cassidy and the Sundance Kid  -- William Goldman"
"1969 (42nd)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"George Jessel"
"1969 (42nd)"|"HONORARY AWARD"|"To Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues."
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To HAZELTINE CORPORATION for the design and development of the Hazeltine Color Film Analyzer. [Laboratory]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To FOUAD SAID for the design and introduction of the Cinemobile series of equipment trucks for location motion picture production. [Stage Operations]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To JUAN DE LA CIERVA and DYNASCIENCES CORPORATION for the design and development of the Dynalens optical image motion compensator. [Photography]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To OTTO POPELKA of Magna-Tech Electronics Company, Inc., for the development of an Electronically Controlled Looping System. [Sound]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FENTON HAMILTON of Metro-Goldwyn-Mayer Studios for the concept and engineering of a mobile battery power unit for location lighting. [Lighting]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PANAVISION, INCORPORATED, for the design and development of the Panaspeed Motion Picture Camera Motor. [Camera]"
"1969 (42nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ROBERT M. FLYNN and RUSSELL HESSEY of Universal City Studios, Inc. for a machine-gun modification for motion picture photography. [Stage Operations]"
"1970 (43rd)"|"ACTOR"|"George C. Scott -- Patton  {\"General George S. Patton, Jr.\"}"
"1970 (43rd)"|"ACTOR IN A SUPPORTING ROLE"|"John Mills -- Ryan's Daughter  {\"Michael\"}"
"1970 (43rd)"|"ACTRESS"|"Glenda Jackson -- Women in Love  {\"Gudrun Brangwen\"}"
"1970 (43rd)"|"ACTRESS IN A SUPPORTING ROLE"|"Helen Hayes -- Airport  {\"Ada Quonsett\"}"
"1970 (43rd)"|"ART DIRECTION"|"Patton  -- Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet"
"1970 (43rd)"|"CINEMATOGRAPHY"|"Ryan's Daughter  -- Freddie Young"
"1970 (43rd)"|"COSTUME DESIGN"|"Cromwell  -- Nino Novarese"
"1970 (43rd)"|"DIRECTING"|"Patton  -- Franklin J. Schaffner"
"1970 (43rd)"|"DOCUMENTARY (Feature)"|"Woodstock  -- Bob Maurice, Producer"
"1970 (43rd)"|"DOCUMENTARY (Short Subject)"|"Interviews with My Lai Veterans  -- Joseph Strick, Producer"
"1970 (43rd)"|"FILM EDITING"|"Patton  -- Hugh S. Fowler"
"1970 (43rd)"|"FOREIGN LANGUAGE FILM"|"Investigation of a Citizen above Suspicion  -- Italy"
"1970 (43rd)"|"MUSIC (Original Score)"|"Love Story --  Francis Lai"
"1970 (43rd)"|"MUSIC (Original Song Score)"|"Let It Be --  Music and lyrics by The Beatles"
"1970 (43rd)"|"MUSIC (Song--Original for the Picture)"|"\"For All We Know\" from Lovers and Other Strangers  -- Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James)"
"1970 (43rd)"|"BEST PICTURE"|"Patton  -- Frank McCarthy, Producer"
"1970 (43rd)"|"SHORT SUBJECT (Cartoon)"|"Is It Always Right to Be Right? --  Nick Bosustow, Producer"
"1970 (43rd)"|"SHORT SUBJECT (Live Action)"|"The Resurrection of Broncho Billy --  John Longenecker, Producer"
"1970 (43rd)"|"SOUND"|"Patton --  Douglas Williams, Don Bassman"
"1970 (43rd)"|"SPECIAL VISUAL EFFECTS"|"Tora! Tora! Tora!  -- A. D. Flowers, L. B. Abbott"
"1970 (43rd)"|"WRITING (Story and Screenplay--based on factual material or material not previously published or produced)"|"Patton  -- Francis Ford Coppola, Edmund H. North"
"1970 (43rd)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Frank Sinatra"
"1970 (43rd)"|"HONORARY AWARD"|"To Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures."
"1970 (43rd)"|"HONORARY AWARD"|"To Orson Welles for superlative artistry and versatility in the creation of motion pictures."
"1970 (43rd)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Ingmar Bergman"
"1970 (43rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To LEONARD SOKOLOW and EDWARD H. REICHARD of Consolidated Film Industries for the concept and engineering of the Color Proofing Printer for motion pictures. [Laboratory]"
"1970 (43rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To SYLVANIA ELECTRIC PRODUCTS INC. for the development and introduction of a series of compact tungsten halogen lamps for motion picture production. [Lighting]"
"1970 (43rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To B. J. LOSMANDY for the concept, design and application of micro-miniature solid state amplifier modules used in motion picture recording equipment. [Sound]"
"1970 (43rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To EASTMAN KODAK COMPANY and PHOTO ELECTRONICS CORPORATION for the design and engineering of an improved video color analyzer for motion picture laboratories. [Laboratory]"
"1970 (43rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ELECTRO SOUND INCORPORATED for the design and introduction of the Series 8000 Sound System for motion picture theatres. [Sound]"
"1971 (44th)"|"ACTOR"|"Gene Hackman -- The French Connection  {\"Jimmy 'Popeye' Doyle\"}"
"1971 (44th)"|"ACTOR IN A SUPPORTING ROLE"|"Ben Johnson -- The Last Picture Show  {\"Sam the Lion\"}"
"1971 (44th)"|"ACTRESS"|"Jane Fonda -- Klute  {\"Bree Daniel\"}"
"1971 (44th)"|"ACTRESS IN A SUPPORTING ROLE"|"Cloris Leachman -- The Last Picture Show  {\"Ruth Popper\"}"
"1971 (44th)"|"ART DIRECTION"|"Nicholas and Alexandra  -- Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon"
"1971 (44th)"|"CINEMATOGRAPHY"|"Fiddler on the Roof  -- Oswald Morris"
"1971 (44th)"|"COSTUME DESIGN"|"Nicholas and Alexandra  -- Yvonne Blake, Antonio Castillo"
"1971 (44th)"|"DIRECTING"|"The French Connection  -- William Friedkin"
"1971 (44th)"|"DOCUMENTARY (Feature)"|"The Hellstrom Chronicle  -- Walon Green, Producer"
"1971 (44th)"|"DOCUMENTARY (Short Subject)"|"Sentinels of Silence  -- Manuel Arango and Robert Amram, Producers"
"1971 (44th)"|"FILM EDITING"|"The French Connection  -- Jerry Greenberg"
"1971 (44th)"|"FOREIGN LANGUAGE FILM"|"The Garden of the Finzi Continis  -- Italy"
"1971 (44th)"|"MUSIC (Original Dramatic Score)"|"Summer of '42 --  Michel Legrand"
"1971 (44th)"|"MUSIC (Scoring: Adaptation and Original Song Score)"|"Fiddler on the Roof --  Adaptation Score by John Williams"
"1971 (44th)"|"MUSIC (Song--Original for the Picture)"|"\"Theme From Shaft\" from Shaft  -- Music and Lyrics by Isaac Hayes"
"1971 (44th)"|"BEST PICTURE"|"The French Connection  -- Philip D'Antoni, Producer"
"1971 (44th)"|"SHORT SUBJECT (Animated)"|"The Crunch Bird --  Ted Petok, Producer"
"1971 (44th)"|"SHORT SUBJECT (Live Action)"|"Sentinels of Silence --  Manuel Arango and Robert Amram, Producers"
"1971 (44th)"|"SOUND"|"Fiddler on the Roof --  Gordon K. McCallum, David Hildyard"
"1971 (44th)"|"SPECIAL VISUAL EFFECTS"|"Bedknobs and Broomsticks  -- Alan Maley, Eustace Lycett, Danny Lee"
"1971 (44th)"|"WRITING (Screenplay--based on material from another medium)"|"The French Connection  -- Ernest Tidyman"
"1971 (44th)"|"WRITING (Story and Screenplay--based on factual material or material not previously published or produced)"|"The Hospital  -- Paddy Chayefsky"
"1971 (44th)"|"HONORARY AWARD"|"To Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century."
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To JOHN N. WILKINSON of Optical Radiation Corporation for the development and engineering of a system of xenon arc lamphouses for motion picture projection. [Lighting]"
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To THOMAS JEFFERSON HUTCHINSON, JAMES R. ROCHESTER and FENTON HAMILTON for the development and introduction of the Sunbrute system of xenon arc lamps for location lighting in motion picture production. [Lighting]"
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PHOTO RESEARCH, A DIVISION OF KOLLMORGEN CORPORATION, for the development and introduction of the film-lens balanced Three Color Meter. [Photography]"
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ROBERT D. AUGUSTE and CINEMA PRODUCTS COMPANY for the development and introduction of a new crystal controlled lightweight motor for the 35mm motion picture Arriflex camera. [Camera]"
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PRODUCERS SERVICE CORPORATION and CONSOLIDATED FILM INDUSTRIES; and to CINEMA RESEARCH CORPORATION and RESEARCH PRODUCTS, INC. for the engineering and implementation of fully automated blow-up motion picture printing systems. [Laboratory]"
"1971 (44th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CINEMA PRODUCTS COMPANY for a control motor to actuate zoom lenses on motion picture cameras. [Camera]"
"1972 (45th)"|"ACTOR"|"Marlon Brando -- The Godfather  {\"Don Vito Corleone\"}"
"1972 (45th)"|"ACTOR IN A SUPPORTING ROLE"|"Joel Grey -- Cabaret  {\"The Master of Ceremonies\"}"
"1972 (45th)"|"ACTRESS"|"Liza Minnelli -- Cabaret  {\"Sally Bowles\"}"
"1972 (45th)"|"ACTRESS IN A SUPPORTING ROLE"|"Eileen Heckart -- Butterflies Are Free  {\"Mrs. Baker\"}"
"1972 (45th)"|"ART DIRECTION"|"Cabaret  -- Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel"
"1972 (45th)"|"CINEMATOGRAPHY"|"Cabaret  -- Geoffrey Unsworth"
"1972 (45th)"|"COSTUME DESIGN"|"Travels with My Aunt  -- Anthony Powell"
"1972 (45th)"|"DIRECTING"|"Cabaret  -- Bob Fosse"
"1972 (45th)"|"DOCUMENTARY (Feature)"|"Marjoe  -- Howard Smith and Sarah Kernochan, Producers"
"1972 (45th)"|"DOCUMENTARY (Short Subject)"|"This Tiny World  -- Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
"1972 (45th)"|"FILM EDITING"|"Cabaret  -- David Bretherton"
"1972 (45th)"|"FOREIGN LANGUAGE FILM"|"The Discreet Charm of the Bourgeoisie  -- France"
"1972 (45th)"|"MUSIC (Original Dramatic Score)"|"Limelight --  Charles Chaplin, Raymond Rasch, Larry Russell"
"1972 (45th)"|"MUSIC (Scoring: Adaptation and Original Song Score)"|"Cabaret --  Adaptation Score by Ralph Burns"
"1972 (45th)"|"MUSIC (Song--Original for the Picture)"|"\"The Morning After\" from The Poseidon Adventure  -- Music and Lyrics by Al Kasha and Joel Hirschhorn"
"1972 (45th)"|"BEST PICTURE"|"The Godfather  -- Albert S. Ruddy, Producer"
"1972 (45th)"|"SHORT SUBJECT (Live Action)"|"Norman Rockwell's World...An American Dream --  Richard Barclay, Producer"
"1972 (45th)"|"SOUND"|"Cabaret --  Robert Knudson, David Hildyard"
"1972 (45th)"|"WRITING (Screenplay--based on material from another medium)"|"The Godfather  -- Mario Puzo, Francis Ford Coppola"
"1972 (45th)"|"WRITING (Story and Screenplay--based on factual material or material not previously published or produced)"|"The Candidate  -- Jeremy Larner"
"1972 (45th)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"The Poseidon Adventure  -- L. B. Abbott, A. D. Flowers"
"1972 (45th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Rosalind Russell"
"1972 (45th)"|"HONORARY AWARD"|"To Charles S. Boren, Leader for 38 years of the industry's enlightened labor relations and architect of its policy of non-discrimination. With the respect and affection of all who work in films."
